"","sentence.pair.id","evaluator.id","score","human.translation","machine.translation","original"
"1","BG_SE_91","DW_Bulgarian_01",100,"Кога вашият случай привлече вниманието на властите?","Кога вашият случай стигна до вниманието на властите?","When did your case come to the attention of the authorities?"
"2","BG_SE_38","BBC_Bulgarian_03",99,"Министърката твърди, че усърдно се бори с корупцията - чрез съдебната реформа, която е условие за присъединяването към ЕС.","Министърът уточни, че активно се бори с корупцията - с реформа на правосъдната система, която е част от процеса на присъединяване към ЕС.","The minister says she is actively fighting corruption - with a reform of the justice system that is part of the EU accession process."
"3","BG_SE_91","BBC_Bulgarian_01",99,"Кога вашият случай привлече вниманието на властите?","Кога вашият случай стигна до вниманието на властите?","When did your case come to the attention of the authorities?"
"4","BG_SE_91","BBC_Bulgarian_02",99,"Кога вашият случай привлече вниманието на властите?","Кога вашият случай стигна до вниманието на властите?","When did your case come to the attention of the authorities?"
"5","BG_SE_164","BBC_Bulgarian_01",99,"Има много повече лесбийски двойки с деца. ","Има много повече лесбийки двойки, които правят това.","There are many more lesbian couples who do this. "
"6","BG_SE_170","DW_Bulgarian_01",99,"Макар горските пожари да не са рядкост в Арктика, през този сезон те са необичайно много. ","Въпреки че горските пожари не са рядкост в Арктика, този сезон те са необичайно високи.","Although forest fires are not uncommon in the Arctic, they are unusually high this season."
"7","BG_SE_8","BBC_Bulgarian_02",98,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.","Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. "
"8","BG_SE_38","BBC_Bulgarian_01",98,"Министърката твърди, че усърдно се бори с корупцията - чрез съдебната реформа, която е условие за присъединяването към ЕС.","Министърът уточни, че активно се бори с корупцията - с реформа на правосъдната система, която е част от процеса на присъединяване към ЕС.","The minister says she is actively fighting corruption - with a reform of the justice system that is part of the EU accession process."
"9","BG_SE_79","BBC_Bulgarian_01",98,"Наскоро разпространен доклад отбелязва, че глетчерите в Гренландия се топят по-бързо от предварителните прогнози.","Неотдавнашен доклад показа, че ледниците в Гренландия се затоплят по-бързо, отколкото се смяташе досега.","A recent report showed Greenland's glaciers are receeding faster than previously thought."
"10","BG_SE_164","DW_Bulgarian_02",98,"Има много повече лесбийски двойки с деца. ","Има много повече лесбийки двойки, които правят това.","There are many more lesbian couples who do this. "
"11","BG_SE_170","BBC_Bulgarian_01",98,"Макар горските пожари да не са рядкост в Арктика, през този сезон те са необичайно много. ","Въпреки че горските пожари не са рядкост в Арктика, този сезон те са необичайно високи.","Although forest fires are not uncommon in the Arctic, they are unusually high this season."
"12","BG_SE_55","DW_Bulgarian_01",97,"Вероятно поради това нашите предци са сметнали, че двете неща са свързани. ","Може би, това може да е една от причините нашите предци да почерпят връзката.","Perhaps, that could be one reason our ancestors drew the connection."
"13","BG_SE_55","DW_Bulgarian_02",97,"Вероятно поради това нашите предци са сметнали, че двете неща са свързани. ","Може би, това може да е една от причините нашите предци да почерпят връзката.","Perhaps, that could be one reason our ancestors drew the connection."
"14","BG_SE_68","DW_Bulgarian_02",97,"Би било интересно да се види кой ще е първият неамериканец на Луната. ","Да видим откъде ще е първият неамериканец на Луната.","Let's see where the first non-American on the moon will be from. "
"15","BG_SE_91","BBC_Bulgarian_03",97,"Кога вашият случай привлече вниманието на властите?","Кога вашият случай стигна до вниманието на властите?","When did your case come to the attention of the authorities?"
"16","BG_SE_4","BBC_Bulgarian_02",96,"Но от това губят не само големите индустриални фирми.","Но не големите индустрии страдат най-много.","But it is not the big industries that suffer the most. "
"17","BG_SE_12","DW_Bulgarian_02",96,"Но този бум има и тъмна страна. ","Но този бум има тъмна страна.","But this boom has a dark side.  "
"18","BG_SE_38","BBC_Bulgarian_02",96,"Министърката твърди, че усърдно се бори с корупцията - чрез съдебната реформа, която е условие за присъединяването към ЕС.","Министърът уточни, че активно се бори с корупцията - с реформа на правосъдната система, която е част от процеса на присъединяване към ЕС.","The minister says she is actively fighting corruption - with a reform of the justice system that is part of the EU accession process."
"19","BG_SE_68","BBC_Bulgarian_02",96,"Би било интересно да се види кой ще е първият неамериканец на Луната. ","Да видим откъде ще е първият неамериканец на Луната.","Let's see where the first non-American on the moon will be from. "
"20","BG_SE_108","DW_Bulgarian_02",96,"Кога се промени животът ви?","Кога животът ви се промени?","When did your lives change? "
"21","BG_SE_170","DW_Bulgarian_02",96,"Макар горските пожари да не са рядкост в Арктика, през този сезон те са необичайно много. ","Въпреки че горските пожари не са рядкост в Арктика, този сезон те са необичайно високи.","Although forest fires are not uncommon in the Arctic, they are unusually high this season."
"22","BG_SE_58","BBC_Bulgarian_03",95,"При толкова много чужди работници, с всичките тези ""гастарбайтери"", местните хора вече нямат тази възможност.","С идването на чуждестранните хора, на ""Gastarbeiter"", местните жители вече нямат тази възможност.","With the foreign people coming across, the ""Gastarbeiter"" coming across, locals no longer have that opportunity."
"23","BG_SE_132","BBC_Bulgarian_02",95,"За да получиш правото да строиш в Тирана, почти винаги трябва да дадеш подкуп. ","За да получиш разрешителните за строеж, почти винаги трябва да дадеш подкуп.","In order to get the building permits, you almost always have to give a bribe."
"24","BG_SE_132","BBC_Bulgarian_03",95,"За да получиш правото да строиш в Тирана, почти винаги трябва да дадеш подкуп. ","За да получиш разрешителните за строеж, почти винаги трябва да дадеш подкуп.","In order to get the building permits, you almost always have to give a bribe."
"25","BG_SE_143","DW_Bulgarian_01",95,"През последните години фалираха над 90 000 подобни фирми. ","През последните няколко години повече от 90.000 от тези предприятия трябваше да се закрият.","Over the last few years more than 90.000 of such businesses had to close. "
"26","BG_SE_153","BBC_Bulgarian_03",95,"Почти всички са от Източна Европа - като сезонни работници те изкарват по около 300 евро седмично, колкото е месечната заплата в Румъния и България.","Почти всички от тях са дошли тук от Източна Европа - като сезонни работници те печелят около 300 евро седмично - което се равнява на месечно възнаграждение в Румъния и България.","Almost all of them came here from Eastern Europe -  as seasonal workers they earn around 300 Euro a week - that equals a month's wage in Romania and Bulgaria."
"27","BG_SE_53","BBC_Bulgarian_03",5,"След което с тях щели да се занимават психолози. ","След това те щели да бъдат предадени на психолози.","They would then be handed over to psychologists. "
"28","BG_SE_137","DW_Bulgarian_01",5,"Китаристите Рихард Круспе и Паул Ландерс се целунаха на сцената на изцяло разпродадения московски стадион ""Лужники"". ","Китаристите Richard Kruspe и Paul Landers заключиха устните си на продадения стадион Luschniki в Москва.","Guitarists Richard Kruspe and Paul Landers locked lips at Moscow's sold-out Luschniki Stadium. "
"29","BG_SE_174","BBC_Bulgarian_03",5,"""Ако всички се интересуват само от забавлението, изкуството загива.""","""Ако всичко, което сте след е просто да се забавляват, това е мястото, където изкуството завършва"".","“If all you're after is just to entertain, that's where art ends."""
"30","BG_SE_174","BBC_Bulgarian_02",5,"""Ако всички се интересуват само от забавлението, изкуството загива.""","""Ако всичко, което сте след е просто да се забавляват, това е мястото, където изкуството завършва"".","“If all you're after is just to entertain, that's where art ends."""
"31","BG_SE_199","DW_Bulgarian_01",5,"Част от имиджа на ""Рамщайн"" е да предизвиква подобни емоционални реакции. ","Предизвиквайки вълнение, е част от етноса на Rammstein.","Causing a stir, is part of Rammstein’s ethos."
"32","BG_SE_53","DW_Bulgarian_01",4,"След което с тях щели да се занимават психолози. ","След това те щели да бъдат предадени на психолози.","They would then be handed over to psychologists. "
"33","BG_SE_101","BBC_Bulgarian_01",4,"Тя заяви, че не е казвала нищо подобно. ","Тя ми каза, че не е казала нищо подобно.","She said to me that she had not said anything like that. "
"34","BG_SE_137","BBC_Bulgarian_02",4,"Китаристите Рихард Круспе и Паул Ландерс се целунаха на сцената на изцяло разпродадения московски стадион ""Лужники"". ","Китаристите Richard Kruspe и Paul Landers заключиха устните си на продадения стадион Luschniki в Москва.","Guitarists Richard Kruspe and Paul Landers locked lips at Moscow's sold-out Luschniki Stadium. "
"35","BG_SE_137","BBC_Bulgarian_01",4,"Китаристите Рихард Круспе и Паул Ландерс се целунаха на сцената на изцяло разпродадения московски стадион ""Лужники"". ","Китаристите Richard Kruspe и Paul Landers заключиха устните си на продадения стадион Luschniki в Москва.","Guitarists Richard Kruspe and Paul Landers locked lips at Moscow's sold-out Luschniki Stadium. "
"36","BG_SE_174","DW_Bulgarian_01",4,"""Ако всички се интересуват само от забавлението, изкуството загива.""","""Ако всичко, което сте след е просто да се забавляват, това е мястото, където изкуството завършва"".","“If all you're after is just to entertain, that's where art ends."""
"37","BG_SE_199","BBC_Bulgarian_01",4,"Част от имиджа на ""Рамщайн"" е да предизвиква подобни емоционални реакции. ","Предизвиквайки вълнение, е част от етноса на Rammstein.","Causing a stir, is part of Rammstein’s ethos."
"38","BG_SE_175","DW_Bulgarian_01",2,"Обяснението на НАСА: Олдрин обръщал знамето на различни страни за снимките. ","Обяснението на НАСА: Олдрин е усукал пилона към различни страни за снимките.","NASA's explanation: Aldrin was twisting the flagpole towards different countries for the photos."
"39","BG_SE_174","BBC_Bulgarian_01",1,"""Ако всички се интересуват само от забавлението, изкуството загива.""","""Ако всичко, което сте след е просто да се забавляват, това е мястото, където изкуството завършва"".","“If all you're after is just to entertain, that's where art ends."""
